Entity,Property 1,Property 2,Property 3,Property 4,Property 5,Property 6,Property 7,Property 8,Property 9,Property 10,Property 11,Property 12,Property 13,Property 14,Property 15,Property 16,Property 17,Property 18,Property 19,Property 20,Property 21,Property 22,Property 23,Property 24,Property 25,Property 26,Property 27,Property 28,Property 29,Property 30,Property 31,Property 32,Property 33,Property 34,Property 35,Property 36,Property 37,Property 38,Property 39,Property 40,Property 41,Property 42,Property 43,Property 44,Property 45,Property 46,Property 47,Property 48
service,ai_resource_identifier,alternate_name,slogan,media,application_area,name,platform,creator,aiod_entry,description_identifier,date_published,keyword,aiod_entry_identifier,contact,contacts,platform_resource_identifier,industrial_sector,identifier,terms_of_service,description,note,scientific_domain,ai_resource_id,research_area,date_deleted,same_as,relevant_link,,,,,,,,,,,,,,,,,,,,,
experiment,ai_resource_identifier,alternate_name,application_area,media,name,platform,creator,aiod_entry,description_identifier,date_published,keyword,aiod_entry_identifier,contact,ai_asset_id,contacts,execution_settings,platform_resource_identifier,citation,industrial_sector,identifier,ai_asset_identifier,description,is_accessible_for_free,experimental_workflow,license,pid,note,scientific_domain,ai_resource_id,distribution,reproducibility_explanation,research_area,license_identifier,date_deleted,same_as,version,relevant_link,,,,,,,,,,,
agent,ai_resource_identifier,alternate_name,application_area,media,name,platform,creator,aiod_entry,description_identifier,note,date_published,keyword,aiod_entry_identifier,contact,scientific_domain,contacts,ai_resource_id,agent_identifier,agent_id,platform_resource_identifier,type,research_area,industrial_sector,identifier,date_deleted,same_as,description,relevant_link,,,,,,,,,,,,,,,,,,,,
event,ai_resource_identifier,alternate_name,application_area,media,name,platform,creator,aiod_entry,description_identifier,organiser_identifier,date_published,keyword,aiod_entry_identifier,contact,location,contacts,status,registration_link,platform_resource_identifier,mode,status_identifier,content_identifier,industrial_sector,identifier,description,note,start_date,scientific_domain,end_date,ai_resource_id,content,research_area,date_deleted,same_as,relevant_link,mode_identifier,,,,,,,,,,,,
person,ai_resource_identifier,alternate_name,application_area,media,name,platform,creator,aiod_entry,description_identifier,date_published,keyword,aiod_entry_identifier,contact,contacts,agent_id,platform_resource_identifier,industrial_sector,identifier,surname,description,member_of,note,scientific_domain,contact_details,ai_resource_id,price_per_hour_euro,agent_identifier,research_area,date_deleted,same_as,given_name,wants_to_be_contacted,languages,relevant_link,expertise,,,,,,,,,,,,,
publication,ai_resource_identifier,alternate_name,application_area,media,name,platform,creator,aiod_entry,children,description_identifier,date_published,keyword,aiod_entry_identifier,contact,parent,ai_asset_id,contacts,platform_resource_identifier,type,issn,content_identifier,citation,industrial_sector,knowledge_asset_identifier,identifier,ai_asset_identifier,description,is_accessible_for_free,license,documents,permanent_identifier,note,definition,scientific_domain,ai_resource_id,content,isbn,distribution,knowledge_asset_id,research_area,license_identifier,date_deleted,same_as,type_identifier,parent_id,version,relevant_link,official
organisation,ai_resource_identifier,alternate_name,application_area,number_of_employees_identifier,media,name,platform,creator,aiod_entry,description_identifier,date_published,keyword,aiod_entry_identifier,contact,contacts,agent_id,platform_resource_identifier,type,industrial_sector,identifier,description,ai_relevance,note,turnover_identifier,scientific_domain,contact_details,ai_resource_id,agent_identifier,research_area,date_deleted,same_as,type_identifier,legal_name,date_founded,relevant_link,,,,,,,,,,,,,
location,contact_identifier,identifier,address,geo,event_identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dataset,ai_resource_identifier,alternate_name,application_area,media,name,platform,creator,aiod_entry,description_identifier,date_published,keyword,aiod_entry_identifier,contact,ai_asset_id,contacts,platform_resource_identifier,issn,citation,temporal_coverage,industrial_sector,identifier,spatial_coverage,ai_asset_identifier,description,is_accessible_for_free,license,spatial_coverage_identifier,size_identifier,measurement_technique,note,scientific_domain,ai_resource_id,distribution,research_area,license_identifier,date_deleted,same_as,version,relevant_link,,,,,,,,,
expertise,name,identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distribution,encoding_format,technology_readiness_level,name,platform,content_size_kb,binary_blob,date_published,description,checksum_algorithm,content_url,copyright,platform_resource_identifier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
project,ai_resource_identifier,alternate_name,application_area,media,total_cost_euro,name,platform,creator,aiod_entry,funder,description_identifier,date_published,keyword,aiod_entry_identifier,contact,contacts,platform_resource_identifier,coordinator_identifier,industrial_sector,identifier,description,note,start_date,scientific_domain,end_date,ai_resource_id,research_area,date_deleted,same_as,relevant_link,,,,,,,,,,,,,,,,,,
